"silhouette","calinski_harabasz","davies_bouldin","method","k_init","k_final"
0.0566002721933755,140.877122639506,3.49699919299705,"KMEANS-PCA",2,2
0.0139066663119194,14.4785005835638,11.4929728542578,"PAM-JSD",2,2
-0.0842544330531411,74.3556994536047,5.71964336617061,"KMEANS-PCA",2,3
0.022566534238803,141.756192316153,4.53332389373753,"PAM-JSD",2,3
-0.0996740748681349,40.1168958021508,8.29788024539821,"KMEANS-PCA",2,4
-0.006582349184943,101.976543941077,4.80038676794854,"PAM-JSD",2,4
-0.11906331849251,33.8342036231328,7.98852932586062,"KMEANS-PCA",2,5
0.000201735194004121,83.646961002598,4.28248366833695,"PAM-JSD",2,5
-0.136849984744883,38.1659874863682,6.8295102739161,"KMEANS-PCA",2,6
-0.0179936541765908,80.4038540850495,3.93243986976802,"PAM-JSD",2,6
0.0479870900692221,53.5950853634617,6.27691151052992,"KMEANS-PCA",3,2
0.0359106899827826,95.0758725282257,8.05251371113975,"PAM-JSD",3,2
-0.0323380669334426,40.9693129550867,9.79060870854353,"KMEANS-PCA",3,3
0.0329648544338387,191.961745951091,4.33657247159625,"PAM-JSD",3,3
-0.0468636025279604,26.9823106343161,8.57696958428448,"KMEANS-PCA",3,4
0.00405340162603037,144.135859606262,4.2234508833077,"PAM-JSD",3,4
-0.123086713369876,21.8488270889613,8.54453695289354,"KMEANS-PCA",3,5
0.0126318370532282,116.740342885919,3.84448811930668,"PAM-JSD",3,5
-0.148901090382527,31.54870756668,8.67539642801801,"KMEANS-PCA",3,6
-0.012162522015076,89.3109421851121,3.91408059709331,"PAM-JSD",3,6
0.0269772273634888,69.1166731218358,10.0149728299925,"KMEANS-PCA",4,2
0.0359620554567469,266.306166294901,2.15805856686094,"PAM-JSD",4,2
-0.0801732377480859,19.8694980659835,8.67183665967905,"KMEANS-PCA",4,3
0.0341708841354946,99.419884509951,6.2030039310782,"PAM-JSD",4,3
-0.0854223355011463,30.5892850137489,8.93819423181723,"KMEANS-PCA",4,4
0.0160413059885298,129.196927459216,4.57577831210571,"PAM-JSD",4,4
-0.114267857282651,36.1807424636894,12.1991068266314,"KMEANS-PCA",4,5
0.0145577074477082,105.227611046578,4.05194970302538,"PAM-JSD",4,5
-0.125492456205077,36.3124594267122,7.84010859433435,"KMEANS-PCA",4,6
0.00724001244516965,134.946523864973,3.3255503274478,"PAM-JSD",4,6
-0.0794727861134524,62.6667960350214,6.76555062235727,"KMEANS-PCA",5,2
0.0673700650159411,298.363670923558,2.0766232529235,"PAM-JSD",5,2
-0.0816176775802532,68.0464867983454,7.58151114598175,"KMEANS-PCA",5,3
0.03060393719276,243.481527949249,2.81598822373142,"PAM-JSD",5,3
-0.086597953692456,65.170622996243,7.93863605254901,"KMEANS-PCA",5,4
0.0403812472584134,170.887265644453,5.02377667548495,"PAM-JSD",5,4
-0.0964084313248476,64.0619946626318,7.03794850169841,"KMEANS-PCA",5,5
0.0214572465345866,147.712863600857,4.93029996600827,"PAM-JSD",5,5
-0.102590026806905,70.4957862331298,8.49905257309826,"KMEANS-PCA",5,6
1.89150946156828e-05,121.637221090699,4.43340053099815,"PAM-JSD",5,6
-0.141655303186662,35.9024317720142,7.31101123502156,"KMEANS-PCA",6,2
0.0591010404183627,261.40549788534,2.28377933472747,"PAM-JSD",6,2
-0.0306780932057818,55.3123073308528,7.54705556343184,"KMEANS-PCA",6,3
0.039112074099273,252.984539036808,2.48395137704769,"PAM-JSD",6,3
-0.107866945676217,39.4292835389378,6.49275636756206,"KMEANS-PCA",6,4
0.022215829552362,213.410089814484,3.86159078345571,"PAM-JSD",6,4
-0.0994502325691066,45.157382683984,7.98685250339833,"KMEANS-PCA",6,5
0.0268798707267342,195.683284356738,4.51226551767843,"PAM-JSD",6,5
-0.0822967573033799,41.724299717083,7.9760504345866,"KMEANS-PCA",6,6
0.0277174153367971,199.915922870619,3.69754737973208,"PAM-JSD",6,6
